# Pin Out For ECP5UM-25,,,,,,,
# Revision 1.0,,,,,,,
"# Revised Nov. 2, 2015",,,,,,,
,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,CSFBGA285
364,VSS,-,-,-,-,-,-
365,PT4B,0,-,Comp_OF_PT4A,-,-,C11
366,PT6A,0,-,True_OF_PT6B,-,-,-
367,VCC,-,-,-,-,-,-
368,PT4A,0,-,True_OF_PT4B,-,-,B11
369,VSS,-,-,-,-,-,-
370,VCC,-,-,-,-,-,-
371,VCC,-,-,-,-,-,-
372,GND,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,GND,-,-,-,-,-,G2
0,GND,-,-,-,-,-,L2
0,GND,-,-,-,-,-,B3
0,GND,-,-,-,-,-,E5
0,GND,-,-,-,-,-,F5
0,GND,-,-,-,-,-,K5
0,GND,-,-,-,-,-,L5
0,GND,-,-,-,-,-,F6
0,GND,-,-,-,-,-,G6
0,GND,-,-,-,-,-,H6
0,GND,-,-,-,-,-,J6
0,GND,-,-,-,-,-,K6
0,GND,-,-,-,-,-,L6
0,GND,-,-,-,-,-,M6
0,GND,-,-,-,-,-,E7
0,GND,-,-,-,-,-,F7
0,GND,-,-,-,-,-,G7
0,GND,-,-,-,-,-,H7
0,GND,-,-,-,-,-,J7
0,GND,-,-,-,-,-,K7
0,GND,-,-,-,-,-,L7
0,GND,-,-,-,-,-,M7
0,GND,-,-,-,-,-,N7
0,GND,-,-,-,-,-,E8
0,GND,-,-,-,-,-,F8
0,GND,-,-,-,-,-,G8
0,GND,-,-,-,-,-,H8
0,GND,-,-,-,-,-,J8
0,GND,-,-,-,-,-,K8
0,GND,-,-,-,-,-,L8
0,GND,-,-,-,-,-,M8
0,GND,-,-,-,-,-,N8
0,GND,-,-,-,-,-,E9
0,GND,-,-,-,-,-,F9
0,GND,-,-,-,-,-,G9
0,GND,-,-,-,-,-,H9
0,GND,-,-,-,-,-,J9
0,GND,-,-,-,-,-,K9
0,GND,-,-,-,-,-,L9
0,GND,-,-,-,-,-,M9
0,GND,-,-,-,-,-,N9
0,GND,-,-,-,-,-,E10
0,GND,-,-,-,-,-,F10
0,GND,-,-,-,-,-,G10
0,GND,-,-,-,-,-,H10
0,GND,-,-,-,-,-,J10
0,GND,-,-,-,-,-,K10
0,GND,-,-,-,-,-,L10
0,GND,-,-,-,-,-,M10
0,GND,-,-,-,-,-,N10
0,GND,-,-,-,-,-,E11
0,GND,-,-,-,-,-,F11
0,GND,-,-,-,-,-,G11
0,GND,-,-,-,-,-,H11
0,GND,-,-,-,-,-,J11
0,GND,-,-,-,-,-,K11
0,GND,-,-,-,-,-,L11
0,GND,-,-,-,-,-,M11
0,GND,-,-,-,-,-,N11
0,GND,-,-,-,-,-,E12
0,GND,-,-,-,-,-,F12
0,GND,-,-,-,-,-,G12
0,GND,-,-,-,-,-,H12
0,GND,-,-,-,-,-,J12
0,GND,-,-,-,-,-,K12
0,GND,-,-,-,-,-,L12
0,GND,-,-,-,-,-,M12
0,GND,-,-,-,-,-,N12
0,GND,-,-,-,-,-,F13
0,GND,-,-,-,-,-,G13
0,GND,-,-,-,-,-,H13
0,GND,-,-,-,-,-,J13
0,GND,-,-,-,-,-,K13
0,GND,-,-,-,-,-,L13
0,GND,-,-,-,-,-,M13
0,GND,-,-,-,-,-,E14
0,GND,-,-,-,-,-,F14
0,GND,-,-,-,-,-,K14
0,GND,-,-,-,-,-,L14
0,GND,-,-,-,-,-,B16
0,GND,-,-,-,-,-,T16
0,GND,-,-,-,-,-,G17
0,GND,-,-,-,-,-,L17
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
